Year,Free Cash Flow,Operating Cash Flow,Capital Expenditures,Net Change in Cash,Net Income,Depreciation & Amortization,Stock-Based Compensation,Deferred Income Tax,Change in Working Capital,Accounts Receivables,Inventory,Accounts Payables,Other Working Capital,Other Non-Cash Items,Net Cash from Operating Activities,PP&E Investments,Cash Acquisitions,Purchase of Investments,Sales Maturities of Investments,Other Investing Activities,Net Cash from Investing Activities,Net Debt Issuance,Long-Term Net Debt Issuance,Short-Term Net Debt Issuance,Net Stock Issuance,Net Common Stock Issuance,Common Stock Issuance,Common Stock Repurchased,Net Preferred Stock Issuance,Net Dividends Paid,Common Dividends Paid,Preferred Dividends Paid,Other Financing Activities,Net Cash from Financing Activities,Effect of Forex Changes on Cash,Cash at Beginning of Period,Cash at End of Period,Income Taxes Paid,Interest Paid
2025,23612000000,51970000000,-28358000000,-12506000000,28844000000,25993000000,0,0,-3787000000,0,0,0,-3787000000,920000000,51970000000,-28358000000,2542000000,-4133000000,0,3406000000,-26543000000,53000000,1203000000,-1150000000,-20273000000,-20273000000,0,-20273000000,0,-17231000000,-17231000000,0,-1014000000,-38465000000,532000000,23187000000,10681000000,0,0
2024,30716000000,55022000000,-24306000000,-8381000000,33680000000,23442000000,0,-865000000,-739000000,-6030000000,-1812000000,5627000000,1476000000,-496000000,55022000000,-24306000000,0,-3299000000,4987000000,2680000000,-19938000000,-5012000000,-251000000,-4761000000,-19629000000,-19629000000,0,-19629000000,0,-16704000000,-16704000000,0,-1444000000,-42789000000,-676000000,31568000000,23187000000,13293000000,624000000
2023,33450000000,55369000000,-21919000000,1903000000,36010000000,20641000000,611000000,634000000,-2358000000,4370000000,-3472000000,-4727000000,1471000000,-169000000,55369000000,-21919000000,3308000000,-2995000000,0,1562000000,-20044000000,-239000000,924000000,-1163000000,-17748000000,-17748000000,0,-17748000000,0,-14941000000,-14941000000,0,-599000000,-33527000000,105000000,29665000000,31568000000,15473000000,584000000
2022,58390000000,76797000000,-18407000000,22863000000,57577000000,24040000000,648000000,3758000000,-194000000,-11019000000,-6947000000,18460000000,-688000000,-9032000000,76797000000,-18407000000,3772000000,-3090000000,-3772000000,6755000000,-14742000000,-7220000000,632000000,-7852000000,-15155000000,-15155000000,0,-15155000000,0,-14939000000,-14939000000,0,-1800000000,-39114000000,-78000000,6802000000,29665000000,15364000000,666000000
2021,36053000000,48129000000,-12076000000,2438000000,23598000000,20607000000,612000000,303000000,4162000000,-12098000000,-489000000,16820000000,-71000000,-1153000000,48129000000,-12076000000,2740000000,-2817000000,-2740000000,4658000000,-10235000000,-19654000000,38000000,-19692000000,-155000000,-155000000,0,-155000000,0,-14924000000,-14924000000,0,-690000000,-35423000000,-33000000,4364000000,6802000000,0,0
2020,-2614000000,14668000000,-17282000000,1275000000,-23251000000,20709000000,672000000,-8856000000,-1653000000,5384000000,-315000000,-7142000000,420000000,27047000000,14668000000,-17282000000,999000000,-4857000000,0,2681000000,-18459000000,20141000000,23178000000,-3037000000,-405000000,-405000000,0,-405000000,0,-14865000000,-14865000000,0,414000000,5285000000,-219000000,3089000000,4364000000,0,0
2019,5355000000,29716000000,-24361000000,47000000,14774000000,18898000000,741000000,-944000000,923000000,-2640000000,72000000,3725000000,-234000000,-4676000000,29716000000,-24361000000,3692000000,-3905000000,0,1490000000,-23084000000,8662000000,7051000000,1611000000,-594000000,-594000000,0,-594000000,0,-14652000000,-14652000000,0,-34000000,-6618000000,33000000,3042000000,3089000000,0,0
2018,16440000000,36014000000,-19574000000,-135000000,20840000000,18045000000,774000000,-60000000,-1417000000,-545000000,-3107000000,2321000000,-86000000,-2168000000,36014000000,-19574000000,4123000000,-1981000000,0,986000000,-16446000000,-4925000000,46000000,-4971000000,-626000000,-626000000,0,-626000000,0,-13798000000,-13798000000,0,-97000000,-19446000000,-257000000,3177000000,3042000000,0,0
2017,14664000000,30066000000,-15402000000,-480000000,19710000000,17893000000,856000000,-8577000000,-1420000000,-3954000000,-1682000000,5104000000,-888000000,1604000000,30066000000,-15402000000,3103000000,-5507000000,2404000000,-328000000,-15730000000,-1048000000,60000000,-1108000000,-747000000,-747000000,0,-747000000,0,-13001000000,-13001000000,0,-334000000,-15130000000,314000000,3657000000,3177000000,0,0
2016,5919000000,22082000000,-16163000000,-48000000,7840000000,18708000000,880000000,-4386000000,-1606000000,-2090000000,-388000000,915000000,-43000000,646000000,22082000000,-16163000000,4275000000,-1417000000,-2858000000,3760000000,-12403000000,4293000000,12066000000,-7773000000,-971000000,-971000000,6000000,-977000000,0,-12453000000,-12453000000,0,-162000000,-9293000000,-434000000,3705000000,3657000000,0,0
2015,3854000000,30344000000,-26490000000,-911000000,16150000000,18048000000,855000000,-1832000000,-3279000000,4692000000,-379000000,-7471000000,-121000000,402000000,30344000000,-26490000000,2389000000,-607000000,-1782000000,2666000000,-23824000000,9255000000,8002000000,1253000000,-4034000000,-4034000000,5000000,-4039000000,0,-12090000000,-12090000000,0,-168000000,-7037000000,-394000000,4616000000,3705000000,0,0
2014,12164000000,45116000000,-32952000000,-28000000,32520000000,17297000000,831000000,1540000000,-5755000000,3118000000,-1343000000,-6639000000,-891000000,-1317000000,45116000000,-32952000000,4035000000,-1631000000,-2404000000,5977000000,-26975000000,6966000000,5662000000,1304000000,-13153000000,-13153000000,30000000,-13183000000,0,-11568000000,-11568000000,0,-133000000,-17888000000,-281000000,4644000000,4616000000,0,0
2013,11245000000,44914000000,-33669000000,-4938000000,32580000000,17182000000,854000000,754000000,-4720000000,-305000000,-1812000000,-2498000000,-105000000,-1736000000,44914000000,-33669000000,2707000000,-4435000000,1728000000,-532000000,-34201000000,11604000000,332000000,11272000000,-15948000000,-15948000000,50000000,-15998000000,0,-10875000000,-10875000000,0,-257000000,-15476000000,-175000000,9582000000,4644000000,0,0
2012,21899000000,56170000000,-34271000000,-3082000000,44880000000,15888000000,854000000,3142000000,-2955000000,-1082000000,-1873000000,0,0,-5639000000,56170000000,-34271000000,7655000000,-972000000,-6683000000,8670000000,-25601000000,-2908000000,848000000,-3756000000,-20875000000,-20875000000,193000000,-21068000000,0,-10092000000,-10092000000,0,7000000,-33868000000,217000000,12664000000,9582000000,0,0
2011,24370000000,55345000000,-30975000000,4839000000,42206000000,0,0,142000000,-1012000000,-3117000000,-2208000000,3117000000,1196000000,14009000000,55345000000,-30975000000,11133000000,-5340000000,1674000000,1343000000,-22165000000,1957000000,436000000,1521000000,-21131000000,-21131000000,924000000,-22055000000,0,-9020000000,-9020000000,0,-46000000,-28256000000,-85000000,7825000000,12664000000,0,0
2010,21542000000,48413000000,-26871000000,-2868000000,31398000000,0,0,-1135000000,3845000000,-2987000000,-1148000000,2987000000,4993000000,14305000000,48413000000,-26871000000,3261000000,-1254000000,155000000,505000000,-24204000000,-6210000000,-5081000000,-1129000000,-12050000000,-12050000000,1043000000,-13093000000,0,-8498000000,-8498000000,0,-159000000,-26924000000,-153000000,10693000000,7825000000,0,0
2009,5947000000,28438000000,-22491000000,-20744000000,19658000000,0,0,0,-1159000000,0,459000000,0,-1618000000,9939000000,28438000000,-22491000000,1545000000,-2768000000,571000000,724000000,-22419000000,-153000000,157000000,-310000000,-18951000000,-18951000000,752000000,-19703000000,0,-8023000000,-8023000000,0,-156000000,-27283000000,520000000,31437000000,10693000000,0,0
2008,40407000000,59725000000,-19318000000,-2544000000,45220000000,12379000000,0,1399000000,1432000000,-36643000000,-1285000000,36643000000,2717000000,-6000000,59725000000,-19318000000,5985000000,-4608000000,1868000000,574000000,-15499000000,-527000000,-113000000,-414000000,-34981000000,-34981000000,753000000,-35734000000,0,-8058000000,-8058000000,0,-461000000,-44027000000,-2743000000,33981000000,31437000000,0,0
2007,36615000000,52002000000,-15387000000,5737000000,40610000000,12250000000,0,124000000,1139000000,-45275000000,72000000,45275000000,1067000000,-309000000,52002000000,-15387000000,4204000000,-3684000000,144000000,4995000000,-9728000000,598000000,383000000,215000000,-30743000000,-30743000000,1079000000,-31822000000,0,-7621000000,-7621000000,0,-579000000,-38345000000,1808000000,28244000000,33981000000,0,0
2006,33824000000,49286000000,-15462000000,-427000000,39500000000,11416000000,0,1717000000,-463000000,-39082000000,-1057000000,39082000000,594000000,-2453000000,49286000000,-15462000000,3080000000,-2604000000,0,756000000,-14230000000,73000000,285000000,-212000000,-28385000000,-28385000000,1173000000,-29558000000,0,-7628000000,-7628000000,0,-270000000,-36210000000,727000000,28671000000,28244000000,0,0
2005,34299000000,48138000000,-13839000000,10140000000,36130000000,10253000000,0,-429000000,3665000000,-36120000000,-434000000,36120000000,4099000000,-1481000000,48138000000,-13839000000,0,0,0,3569000000,-10270000000,-1502000000,114000000,-1616000000,-17280000000,-17280000000,941000000,-18221000000,0,-7478000000,-7185000000,0,-974000000,-26941000000,-787000000,18531000000,28671000000,0,0
2004,28565000000,40551000000,-11986000000,7905000000,25330000000,9767000000,0,-1134000000,5763000000,-472000000,-223000000,0,5872000000,825000000,40551000000,-11986000000,0,0,0,-2924000000,-14910000000,-1951000000,-92000000,-1859000000,-8991000000,-8991000000,960000000,-9951000000,0,-7111000000,-6896000000,-215000000,-215000000,-18268000000,532000000,10626000000,18531000000,0,0
2003,15639000000,28498000000,-12859000000,3397000000,21510000000,9047000000,0,1827000000,-214000000,0,-100000000,0,-114000000,-3672000000,28498000000,-12859000000,0,0,0,2017000000,-10842000000,-2124000000,-2124000000,0,-5447000000,-5447000000,0,-5881000000,0,-6945000000,-6945000000,0,-247000000,-14763000000,504000000,7229000000,10626000000,0,0
2002,9831000000,21268000000,-11437000000,682000000,11460000000,8310000000,0,297000000,445000000,0,353000000,0,92000000,756000000,21268000000,-11437000000,0,0,0,1679000000,-9758000000,-307000000,-307000000,0,-4499000000,-4499000000,0,-4798000000,0,-6386000000,-6386000000,0,-161000000,-11353000000,525000000,6547000000,7229000000,0,0
2001,12900000000,22889000000,-9989000000,-533000000,15320000000,7944000000,0,650000000,-1769000000,0,154000000,0,-1923000000,-207000000,22889000000,-9989000000,0,0,0,1778000000,-8211000000,-466000000,-466000000,0,-5420000000,-5420000000,301000000,-5721000000,0,-6448000000,-6448000000,0,-2707000000,-15041000000,-170000000,7080000000,6547000000,0,0
2000,14491000000,22937000000,-8446000000,5392000000,17720000000,8130000000,0,10000000,78000000,0,-297000000,0,375000000,-326000000,22937000000,-8446000000,5770000000,-1689000000,82000000,985000000,-3298000000,-5705000000,-5705000000,0,-1859000000,-1859000000,493000000,-2352000000,0,-6374000000,-6374000000,0,-227000000,-14165000000,-82000000,1688000000,7080000000,0,0
1999,4164000000,15013000000,-10849000000,-698000000,7910000000,8304000000,0,-1439000000,-205000000,0,50000000,0,-255000000,-260000000,15013000000,-10849000000,0,-1537000000,547000000,854000000,-10985000000,1834000000,1834000000,0,-322000000,-322000000,348000000,-670000000,0,-6091000000,-6091000000,0,-200000000,-4779000000,53000000,2386000000,1688000000,0,0
1998,2697000000,11056000000,-8359000000,-2606000000,8074000000,8355000000,0,408000000,-394000000,0,6000000,0,-828000000,-232000000,11056000000,-8359000000,0,-702000000,513000000,556000000,-7992000000,2218000000,2218000000,0,-3040000000,-3040000000,507000000,-3547000000,0,-6230000000,-6230000000,0,1354000000,-5698000000,28000000,4047000000,1441000000,0,0
1997,7283000000,14676000000,-7393000000,1096000000,8460000000,5474000000,0,346000000,-971000000,0,-253000000,0,-718000000,435000000,14676000000,-7393000000,0,-857000000,349000000,1110000000,-6791000000,-908000000,-908000000,0,-2698000000,-2698000000,424000000,-3122000000,0,-6177000000,-4351000000,0,3071000000,-6712000000,-77000000,2951000000,4047000000,0,0
1996,5953000000,13162000000,-7209000000,1443000000,7510000000,5329000000,0,835000000,-1042000000,0,246000000,0,-1288000000,-379000000,13162000000,-7209000000,0,-969000000,944000000,719000000,-6515000000,-254000000,-254000000,0,-454000000,-454000000,347000000,-801000000,0,-4193000000,-4193000000,0,-338000000,-5239000000,35000000,1508000000,2951000000,0,0
1995,6719000000,13847000000,-7128000000,351000000,6470000000,5386000000,0,1043000000,-10000000,0,37000000,0,-47000000,-164000000,13847000000,-7128000000,0,-910000000,1017000000,666000000,-6355000000,-2705000000,-2705000000,0,-300000000,-300000000,328000000,-628000000,0,-4047000000,-4047000000,0,-84000000,-7136000000,-5000000,1157000000,1508000000,0,0
1994,3208000000,9851000000,-6643000000,174000000,5100000000,5015000000,0,260000000,-289000000,0,180000000,0,-469000000,197000000,9851000000,-6643000000,0,-1650000000,1512000000,1359000000,-5422000000,-26000000,-26000000,0,-154000000,-154000000,66000000,-220000000,0,-4079000000,-4079000000,0,25000000,-4234000000,-21000000,983000000,1157000000,0,0
1993,4547000000,11503000000,-6956000000,85000000,5280000000,4884000000,0,64000000,1024000000,0,156000000,0,868000000,250000000,11503000000,-6956000000,1095000000,-1323000000,1246000000,-163000000,-6101000000,-709000000,-709000000,0,-192000000,-192000000,131000000,-323000000,0,-3879000000,-3879000000,0,-500000000,-5280000000,-37000000,898000000,983000000,0,0
1992,2386000000,9611000000,-7225000000,-598000000,4810000000,5044000000,0,-1285000000,-472000000,0,-71000000,0,-401000000,-40000000,9611000000,-7225000000,982000000,-1079000000,518000000,-229000000,-7033000000,739000000,739000000,0,-210000000,-210000000,148000000,-358000000,0,-3832000000,-3832000000,0,180000000,-3123000000,-53000000,1496000000,898000000,0,0
1991,3618000000,10942000000,-7324000000,164000000,5600000000,4824000000,0,-43000000,160000000,0,263000000,0,-103000000,401000000,10942000000,-7324000000,1052000000,-279000000,234000000,97000000,-6220000000,-637000000,-637000000,0,-353000000,-353000000,113000000,-466000000,0,-3645000000,-3645000000,0,78000000,-4557000000,-1000000,1332000000,1496000000,0,0
1990,4098000000,10646000000,-6548000000,-533000000,5010000000,5545000000,0,-90000000,-592000000,0,-399000000,0,-193000000,773000000,10646000000,-6548000000,0,0,104000000,1275000000,-5169000000,-2337000000,-2337000000,0,-336000000,-336000000,0,-336000000,0,-3397000000,-3397000000,0,37000000,-6033000000,23000000,1865000000,1332000000,0,0
1989,1602000000,7915000000,-6313000000,-468000000,2975000000,5002000000,0,-668000000,-321000000,0,-181000000,0,-140000000,535000000,7915000000,-6313000000,0,-23000000,0,-3620000000,-9956000000,5192000000,5192000000,0,-744000000,-744000000,1006000000,-1750000000,0,-3170000000,-3170000000,0,374000000,1652000000,-79000000,2333000000,1865000000,0,0