Quarter,Free Cash Flow,Operating Cash Flow,Capital Expenditures,Net Change in Cash,Net Income,Depreciation & Amortization,Stock-Based Compensation,Deferred Income Tax,Change in Working Capital,Accounts Receivables,Inventory,Accounts Payables,Other Working Capital,Other Non-Cash Items,Net Cash from Operating Activities,PP&E Investments,Cash Acquisitions,Purchase of Investments,Sales Maturities of Investments,Other Investing Activities,Net Cash from Investing Activities,Net Debt Issuance,Long-Term Net Debt Issuance,Short-Term Net Debt Issuance,Net Stock Issuance,Net Common Stock Issuance,Common Stock Issuance,Common Stock Repurchased,Net Preferred Stock Issuance,Net Dividends Paid,Common Dividends Paid,Preferred Dividends Paid,Other Financing Activities,Net Cash from Financing Activities,Effect of Forex Changes on Cash,Cash at Beginning of Period,Cash at End of Period,Income Taxes Paid,Interest Paid
2025-12-31,5229000000,12679000000,-7450000000,-3188000000,6501000000,7715000000,0,0,-1645000000,0,0,0,-1645000000,108000000,12679000000,-7450000000,744000000,-3160000000,0,2457000000,-7409000000,1766000000,71000000,1695000000,-5379000000,-5379000000,0,-5379000000,0,-4366000000,-4366000000,0,-479000000,-8458000000,0,13869000000,10681000000,0,0
2025-09-30,6061000000,14788000000,-8727000000,-1842000000,7768000000,6475000000,0,0,-152000000,0,0,0,-152000000,697000000,14788000000,-8727000000,0,-501000000,0,749000000,-8479000000,1664000000,262000000,1402000000,-5126000000,-5126000000,0,-5126000000,0,-4242000000,-4242000000,0,-379000000,-8083000000,-68000000,15711000000,13869000000,2266000000,164000000
2025-06-30,5267000000,11550000000,-6283000000,-2801000000,7354000000,6101000000,0,0,-3970000000,0,0,0,-3970000000,2065000000,11550000000,-6283000000,0,-319000000,0,422000000,-6180000000,932000000,597000000,335000000,-4964000000,-4964000000,0,-4964000000,0,-4288000000,-4288000000,0,-365000000,-8685000000,514000000,18512000000,15711000000,2986000000,-42000000
2025-03-31,7055000000,12953000000,-5898000000,-4675000000,8033000000,5702000000,0,0,-878000000,0,0,0,-878000000,96000000,12953000000,-5898000000,0,-153000000,0,1916000000,-4135000000,-4309000000,273000000,-4582000000,-4804000000,-4804000000,0,-4804000000,0,-4335000000,-4335000000,0,-131000000,-13579000000,86000000,23187000000,18512000000,2596000000,211000000
2024-12-31,5392000000,12229000000,-6837000000,-3785000000,7610000000,6585000000,0,-865000000,433000000,0,0,0,433000000,-1534000000,12229000000,-6837000000,0,-2261000000,0,4846000000,-4252000000,-456000000,465000000,-921000000,-5780000000,-5780000000,0,-5780000000,0,-4371000000,-4371000000,0,-536000000,-11143000000,-619000000,26972000000,23187000000,2099000000,-42000000
2024-09-30,11409000000,17569000000,-6160000000,484000000,8610000000,6258000000,0,0,2340000000,0,0,0,2340000000,361000000,17569000000,-6160000000,-190000000,-294000000,0,404000000,-6240000000,-854000000,209000000,-1063000000,-5512000000,-5512000000,0,-5512000000,0,-4240000000,-4240000000,0,-500000000,-11106000000,261000000,26488000000,26972000000,4226000000,345000000
2024-06-30,4325000000,10560000000,-6235000000,-6861000000,9240000000,5787000000,0,0,-4798000000,0,0,0,-4798000000,331000000,10560000000,-6235000000,936000000,-323000000,0,763000000,-4859000000,-2699000000,-1033000000,-1666000000,-5326000000,-5326000000,0,-5326000000,0,-4285000000,-4285000000,0,-258000000,-12568000000,6000000,33349000000,26488000000,4250000000,20000000
2024-03-31,9590000000,14664000000,-5074000000,1781000000,8566000000,4812000000,0,0,2008000000,0,0,0,2008000000,-722000000,14664000000,-5074000000,709000000,-421000000,0,215000000,-4571000000,-1003000000,108000000,-1111000000,-3011000000,-3011000000,0,-3011000000,0,-3808000000,-3808000000,0,-166000000,-7988000000,-324000000,31568000000,33349000000,2718000000,301000000
2023-12-31,7454000000,13682000000,-6228000000,-1405000000,7630000000,7740000000,611000000,0,-1802000000,0,0,0,-1802000000,-497000000,13682000000,-6228000000,508000000,-1854000000,0,1348000000,-6226000000,-528000000,130000000,-658000000,-4656000000,-4656000000,0,-4656000000,0,-3839000000,-3839000000,0,-20000000,-9043000000,182000000,32973000000,31568000000,0,0
2023-09-30,11043000000,15963000000,-4920000000,3416000000,9346000000,4415000000,0,0,1821000000,0,0,0,1821000000,381000000,15963000000,-4920000000,648000000,-307000000,-648000000,948000000,-4279000000,503000000,664000000,-161000000,-4412000000,-4412000000,0,-4412000000,0,-3663000000,-3663000000,0,-487000000,-8059000000,-209000000,29557000000,32973000000,2786000000,283000000
2023-06-30,4024000000,9383000000,-5359000000,-3119000000,8153000000,4242000000,0,0,-3583000000,0,0,0,-3583000000,571000000,9383000000,-5359000000,1314000000,-389000000,-1314000000,1392000000,-4356000000,84000000,110000000,-26000000,-4340000000,-4340000000,0,-4340000000,0,-3701000000,-3701000000,0,-219000000,-8176000000,30000000,32676000000,29557000000,4437000000,309000000
2023-03-31,10929000000,16341000000,-5412000000,3011000000,11843000000,4244000000,0,0,-302000000,0,0,0,-302000000,556000000,16341000000,-5412000000,-854000000,-445000000,854000000,932000000,-4925000000,-298000000,20000000,-318000000,-4340000000,-4340000000,0,-4340000000,0,-3738000000,-3738000000,0,-131000000,-8507000000,102000000,29665000000,32676000000,4404000000,547000000
2022-12-31,11838000000,17621000000,-5783000000,-799000000,13055000000,5064000000,648000000,3758000000,-200000000,-11019000000,-6947000000,0,17766000000,-4704000000,17621000000,-5783000000,932000000,-2175000000,-932000000,2603000000,-5355000000,-5018000000,577000000,-5595000000,-4675000000,-4675000000,0,-4675000000,0,-3767000000,-3767000000,0,-477000000,-13937000000,872000000,30464000000,29665000000,0,0
2022-09-30,19549000000,24425000000,-4876000000,11603000000,20198000000,5642000000,0,0,1667000000,0,0,0,1667000000,-3082000000,24425000000,-4876000000,2305000000,-272000000,-2305000000,2770000000,-2378000000,-1169000000,55000000,-1224000000,-4494000000,-4494000000,0,-4494000000,0,-3685000000,-3685000000,0,-445000000,-9793000000,-651000000,18861000000,30464000000,4627000000,525000000
2022-06-30,16126000000,19963000000,-3837000000,7787000000,18574000000,4451000000,0,0,-2747000000,0,0,0,-2747000000,-315000000,19963000000,-3837000000,336000000,-226000000,-336000000,999000000,-3064000000,-301000000,0,-301000000,-3919000000,-3919000000,0,-3919000000,0,-3727000000,-3727000000,0,-724000000,-8671000000,-441000000,11074000000,18861000000,3747000000,234000000
2022-03-31,10877000000,14788000000,-3911000000,4272000000,5480000000,5908000000,0,0,1086000000,0,0,0,1086000000,2314000000,14788000000,-3911000000,-293000000,-417000000,293000000,383000000,-3945000000,-732000000,0,-732000000,-2067000000,-2067000000,0,-2067000000,0,-3760000000,-3760000000,0,-154000000,-6713000000,142000000,6802000000,11074000000,1798000000,506000000
2021-12-31,13035000000,17124000000,-4089000000,2034000000,8870000000,4461000000,612000000,303000000,1945000000,0,0,0,1945000000,933000000,17124000000,-4089000000,0,-1762000000,3176000000,565000000,-2110000000,-8824000000,-4000000,-8820000000,-154000000,-154000000,0,-154000000,0,-3763000000,-3763000000,0,-218000000,-12959000000,-21000000,4768000000,6802000000,0,0
2021-09-30,9251000000,12091000000,-2840000000,1303000000,6750000000,4990000000,0,0,659000000,0,0,0,659000000,-308000000,12091000000,-2840000000,0,-442000000,18000000,210000000,-3054000000,-3812000000,42000000,-3854000000,0,0,0,0,0,-3720000000,-3720000000,0,-125000000,-7657000000,-77000000,3465000000,4768000000,1437000000,517000000
2021-06-30,6903000000,9650000000,-2747000000,-50000000,4690000000,4952000000,0,0,-380000000,0,0,0,-380000000,388000000,9650000000,-2747000000,-10000000,-264000000,0,295000000,-2716000000,-2953000000,0,-2953000000,0,0,0,0,0,-3721000000,-3721000000,0,-348000000,-7022000000,38000000,3515000000,3465000000,1224000000,223000000
2021-03-31,6864000000,9264000000,-2400000000,-849000000,2730000000,5004000000,0,0,1953000000,0,0,0,1953000000,-423000000,9264000000,-2400000000,-307000000,-349000000,307000000,394000000,-2355000000,-4065000000,0,-4065000000,-1000000,-1000000,0,-1000000,0,-3720000000,-3720000000,0,1000000,-7785000000,27000000,4364000000,3515000000,855000000,556000000
2020-12-31,376000000,4005000000,-3629000000,-4468000000,-20070000000,6316000000,672000000,-5741000000,3026000000,0,0,0,3026000000,19802000000,4005000000,-3629000000,770000000,-1414000000,644000000,327000000,-3302000000,-1529000000,-4000000,-1525000000,-100000000,-100000000,0,-100000000,0,-3715000000,-3715000000,0,61000000,-5283000000,112000000,8832000000,4364000000,0,0
2020-09-30,1098000000,4389000000,-3291000000,-3744000000,-680000000,3947000000,0,0,708000000,0,0,0,708000000,414000000,4389000000,-3291000000,100000000,-1919000000,1819000000,-418000000,-3709000000,-928000000,-1000000,-927000000,0,0,0,0,0,-3716000000,-3716000000,0,150000000,-4494000000,70000000,12576000000,8832000000,573000000,617000000
2020-06-30,-4328000000,89000000,-4417000000,1253000000,-1080000000,4916000000,0,0,-1305000000,0,0,0,-1305000000,-2442000000,89000000,-4417000000,43000000,-796000000,0,89000000,-5081000000,9838000000,14719000000,-4881000000,0,0,0,0,0,-3715000000,-3715000000,0,154000000,6277000000,-32000000,11412000000,12665000000,396000000,157000000
2020-03-31,329000000,6274000000,-5945000000,8323000000,-610000000,5208000000,0,0,-942000000,0,2245000000,0,-3187000000,2618000000,6274000000,-5945000000,86000000,-728000000,642000000,-422000000,-6367000000,12760000000,8464000000,4296000000,-305000000,-305000000,0,-305000000,0,-3719000000,-3719000000,0,49000000,8785000000,-369000000,3089000000,11412000000,1372000000,468000000
2019-12-31,-352000000,6352000000,-6704000000,-2262000000,5690000000,4777000000,741000000,1827000000,2218000000,0,0,0,2218000000,-8901000000,6352000000,-6704000000,3092000000,-1373000000,-1719000000,2440000000,-4264000000,-660000000,32000000,-692000000,-173000000,-173000000,0,-173000000,0,-3716000000,-3716000000,0,93000000,-4456000000,106000000,5351000000,3089000000,0,0
2019-09-30,2794000000,9079000000,-6285000000,1138000000,3170000000,4873000000,0,0,1550000000,0,0,0,1550000000,-514000000,9079000000,-6285000000,460000000,-802000000,342000000,135000000,-6150000000,1958000000,6976000000,-5018000000,0,0,0,0,0,-3716000000,-3716000000,0,92000000,-1666000000,-125000000,4213000000,5351000000,1375000000,423000000
2019-06-30,-226000000,5947000000,-6173000000,-373000000,3130000000,4631000000,0,0,-1243000000,0,0,0,-1243000000,-571000000,5947000000,-6173000000,33000000,-820000000,787000000,-704000000,-6877000000,4365000000,43000000,4322000000,0,0,0,0,0,-3715000000,-3715000000,0,-102000000,548000000,9000000,4586000000,4213000000,2091000000,210000000
2019-03-31,3139000000,8338000000,-5199000000,1544000000,2350000000,4571000000,0,0,2257000000,0,0,0,2257000000,-840000000,8338000000,-5199000000,107000000,-910000000,803000000,-594000000,-5793000000,2999000000,0,2999000000,-421000000,-421000000,0,-421000000,0,-3505000000,-3505000000,0,-117000000,-1044000000,43000000,3042000000,4586000000,1793000000,422000000
2018-12-31,2513000000,8607000000,-6094000000,-2627000000,6000000000,4328000000,774000000,2878000000,-3652000000,-545000000,-3107000000,0,0,-1721000000,8607000000,-6094000000,884000000,-868000000,-16000000,510000000,-5584000000,-2272000000,46000000,-2318000000,-196000000,-196000000,0,-196000000,0,-3502000000,-3502000000,0,469000000,-5501000000,-149000000,5669000000,3042000000,0,0
2018-09-30,5904000000,11108000000,-5204000000,2239000000,6240000000,4658000000,0,0,957000000,0,0,0,957000000,-747000000,11108000000,-5204000000,1491000000,-409000000,-1082000000,1297000000,-3907000000,-1299000000,0,-1299000000,-1000000,-1000000,0,-1000000,0,-3503000000,-3503000000,0,-156000000,-4959000000,-3000000,3430000000,5669000000,2314000000,362000000
2018-06-30,2853000000,7780000000,-4927000000,-695000000,3950000000,4589000000,0,0,-1333000000,0,0,0,-1333000000,574000000,7780000000,-4927000000,307000000,-566000000,259000000,-169000000,-5096000000,568000000,0,568000000,-2000000,-2000000,0,-2000000,0,-3502000000,-3502000000,0,-308000000,-3244000000,-135000000,4125000000,3430000000,2309000000,117000000
2018-03-31,5170000000,8519000000,-3349000000,948000000,4650000000,4470000000,0,0,351000000,0,0,0,351000000,-952000000,8519000000,-3349000000,1441000000,-138000000,-1303000000,1490000000,-1859000000,-1922000000,0,-1922000000,-427000000,-427000000,0,-427000000,0,-3291000000,-3291000000,0,-102000000,-5742000000,30000000,3177000000,4125000000,2117000000,360000000
2017-12-31,2910000000,7411000000,-4501000000,-1089000000,8380000000,3842000000,856000000,4780000000,1415000000,0,0,0,1415000000,-11862000000,7411000000,-4501000000,1408000000,-3557000000,2149000000,-2035000000,-6536000000,1789000000,0,1789000000,-232000000,-232000000,0,-232000000,0,-3289000000,-3289000000,0,-105000000,-1837000000,-127000000,4266000000,3177000000,0,0
2017-09-30,2622000000,7535000000,-4913000000,224000000,3970000000,4880000000,0,0,-319000000,0,0,0,-319000000,-996000000,7535000000,-4913000000,854000000,-157000000,-697000000,2358000000,-2555000000,-1589000000,0,-1589000000,-1000000,-1000000,0,-1000000,0,-3289000000,-3289000000,0,-109000000,-4988000000,232000000,4042000000,4266000000,-7858000000,-1552000000
2017-06-30,3849000000,6947000000,-3098000000,-855000000,3350000000,4652000000,0,0,-1021000000,0,0,0,-1021000000,-34000000,6947000000,-3098000000,154000000,-55000000,-99000000,220000000,-2878000000,-1681000000,0,-1681000000,-13000000,-13000000,0,-13000000,0,-3289000000,-3289000000,0,-76000000,-5059000000,135000000,4897000000,4042000000,1277000000,219000000
2017-03-31,5283000000,8173000000,-2890000000,1240000000,4010000000,4519000000,0,0,793000000,0,0,0,793000000,-1149000000,8173000000,-2890000000,687000000,-1738000000,1051000000,-871000000,-3761000000,433000000,60000000,373000000,-501000000,-501000000,0,-501000000,0,-3134000000,-3134000000,0,-44000000,-3246000000,74000000,3657000000,4897000000,1970000000,368000000
2016-12-31,3509000000,7396000000,-3887000000,-1436000000,1680000000,8117000000,880000000,1598000000,780000000,0,0,0,780000000,-5659000000,7396000000,-3887000000,2093000000,-19000000,-2074000000,2215000000,-1672000000,-3323000000,102000000,-3425000000,-250000000,-250000000,0,-250000000,0,-3133000000,-3133000000,0,-40000000,-6746000000,-414000000,5093000000,3657000000,0,0
2016-09-30,1951000000,5355000000,-3404000000,735000000,2650000000,4605000000,0,0,-661000000,0,0,0,-661000000,-1239000000,5355000000,-3404000000,976000000,-1087000000,111000000,169000000,-3235000000,1875000000,0,1875000000,-1000000,-1000000,-1000000,0,0,-3133000000,-3133000000,0,-37000000,-1296000000,-89000000,4358000000,5093000000,-905000000,-375000000
2016-06-30,248000000,4519000000,-4271000000,-488000000,1700000000,4821000000,0,0,-1326000000,0,0,0,-1326000000,-676000000,4519000000,-4271000000,1029000000,-77000000,-952000000,1124000000,-3147000000,1400000000,1000000,1399000000,1000000,1000000,2000000,-1000000,0,-3133000000,-3133000000,0,-43000000,-1775000000,-85000000,4846000000,4358000000,-1395000000,-111000000
2016-03-31,211000000,4812000000,-4601000000,1141000000,1810000000,4765000000,0,0,-399000000,0,0,0,-399000000,-1364000000,4812000000,-4601000000,177000000,-234000000,57000000,252000000,-4349000000,4341000000,11963000000,-7622000000,-721000000,-721000000,5000000,-726000000,0,-3054000000,-3054000000,0,-42000000,524000000,154000000,3705000000,4846000000,-749000000,-223000000
2015-12-31,-1756000000,4380000000,-6136000000,-591000000,2780000000,4755000000,855000000,-5168000000,5395000000,4692000000,-379000000,0,1082000000,-4237000000,4380000000,-6136000000,785000000,-195000000,-590000000,812000000,-5324000000,4257000000,-8000000,4265000000,-749000000,-749000000,5000000,-754000000,0,-3054000000,-3054000000,0,-41000000,413000000,-60000000,4296000000,3705000000,0,0
2015-09-30,2773000000,9174000000,-6401000000,-47000000,4240000000,4542000000,0,0,496000000,0,0,0,496000000,-104000000,9174000000,-6401000000,491000000,-49000000,-442000000,744000000,-5657000000,198000000,23000000,175000000,-501000000,-501000000,0,-501000000,0,-3060000000,-3060000000,0,-39000000,-3402000000,-162000000,4343000000,4296000000,9666000000,722000000
2015-06-30,1683000000,8792000000,-7109000000,-841000000,4190000000,4451000000,0,0,-1024000000,0,0,0,-1024000000,1175000000,8792000000,-7109000000,629000000,-81000000,-548000000,618000000,-6491000000,923000000,-3000000,926000000,-1003000000,-1003000000,0,-1003000000,0,-3066000000,-3066000000,0,-48000000,-3194000000,52000000,5184000000,4343000000,-5298000000,-433000000
2015-03-31,1154000000,7998000000,-6844000000,568000000,4940000000,4300000000,0,0,-509000000,0,0,0,-509000000,-733000000,7998000000,-6844000000,484000000,-282000000,-202000000,492000000,-6352000000,3877000000,7990000000,-4113000000,-1781000000,-1781000000,0,-1781000000,0,-2910000000,-2910000000,0,-40000000,-854000000,-224000000,4616000000,5184000000,1226000000,170000000
2014-12-31,-1469000000,7415000000,-8884000000,-346000000,6570000000,4458000000,831000000,-2606000000,2167000000,3118000000,-1343000000,0,392000000,-4005000000,7415000000,-8884000000,241000000,-362000000,121000000,37000000,-8847000000,7390000000,159000000,7231000000,-3298000000,-3298000000,20000000,-3318000000,0,-2924000000,-2924000000,0,29000000,1197000000,-111000000,4962000000,4616000000,0,0
2014-09-30,4198000000,12396000000,-8198000000,-1121000000,8070000000,4362000000,0,0,-463000000,0,0,0,-463000000,427000000,12396000000,-8198000000,127000000,-591000000,464000000,553000000,-7645000000,312000000,3000000,309000000,-3001000000,-3001000000,1000000,-3002000000,0,-2946000000,-2946000000,0,-38000000,-5673000000,-199000000,6083000000,4962000000,3972000000,121000000
2014-06-30,1660000000,10202000000,-8542000000,482000000,8780000000,4285000000,0,0,-2449000000,0,0,0,-2449000000,-414000000,10202000000,-8542000000,2556000000,-221000000,-2335000000,4365000000,-4177000000,432000000,0,432000000,-2996000000,-2996000000,7000000,-3003000000,0,-2966000000,-2966000000,0,-66000000,-5596000000,53000000,5601000000,6083000000,6221000000,87000000
2014-03-31,7775000000,15103000000,-7328000000,957000000,9100000000,4192000000,0,0,2452000000,0,0,0,2452000000,-641000000,15103000000,-7328000000,1111000000,-457000000,-654000000,1022000000,-6306000000,-1168000000,5500000000,-6668000000,-3858000000,-3858000000,2000000,-3860000000,0,-2732000000,-2732000000,0,-58000000,-7816000000,-24000000,4644000000,5601000000,4145000000,87000000
2013-12-31,1782000000,10208000000,-8426000000,-666000000,8350000000,4380000000,854000000,1263000000,454000000,-305000000,-1812000000,0,2571000000,-5093000000,10208000000,-8426000000,1836000000,-791000000,-1045000000,1714000000,-6712000000,1915000000,126000000,1789000000,-3298000000,-3298000000,4000000,-3302000000,0,-2750000000,-2750000000,0,-45000000,-4178000000,16000000,5310000000,4644000000,0,0
2013-09-30,4333000000,13431000000,-9098000000,701000000,7870000000,4287000000,0,0,286000000,0,0,0,286000000,988000000,13431000000,-9098000000,206000000,-180000000,-26000000,156000000,-8942000000,1921000000,4000000,1917000000,-3007000000,-3007000000,37000000,-3044000000,0,-2770000000,-2770000000,0,-33000000,-3889000000,101000000,4609000000,5310000000,34531000000,537000000
2013-06-30,-968000000,7683000000,-8651000000,-1605000000,6860000000,4405000000,0,0,-5283000000,0,0,0,-5283000000,1701000000,7683000000,-8651000000,305000000,-432000000,127000000,158000000,-8493000000,6176000000,197000000,5979000000,-4024000000,-4024000000,7000000,-4031000000,0,-2794000000,-2794000000,0,-73000000,-715000000,-80000000,6214000000,4609000000,-7440000000,-114000000
2013-03-31,6098000000,13592000000,-7494000000,-3368000000,9500000000,4110000000,0,0,2321000000,0,0,0,2321000000,-2339000000,13592000000,-7494000000,360000000,-3032000000,2672000000,-2560000000,-10054000000,1592000000,5000000,1587000000,-5619000000,-5619000000,2000000,-5621000000,0,-2561000000,-2561000000,0,-106000000,-6694000000,-212000000,9582000000,6214000000,-7220000000,-105000000
2012-12-31,3167000000,13224000000,-10057000000,-3473000000,9950000000,4110000000,854000000,2101000000,-2955000000,-1082000000,-1873000000,0,0,-836000000,13224000000,-10057000000,805000000,-204000000,-1533000000,1987000000,-9002000000,16000000,266000000,-250000000,-5245000000,-5245000000,9000000,-5254000000,0,-2592000000,-2592000000,0,96000000,-7725000000,30000000,13055000000,9582000000,0,0
2012-09-30,5416000000,13442000000,-8026000000,-4747000000,9570000000,4037000000,0,0,-289000000,0,0,0,0,124000000,13442000000,-8026000000,73000000,-371000000,298000000,534000000,-7492000000,-3088000000,204000000,-3292000000,-5000000000,-5000000000,98000000,-5098000000,0,-2622000000,-2622000000,0,-150000000,-10860000000,163000000,17802000000,13055000000,-5568000000,-97000000
2012-06-30,1872000000,10217000000,-8345000000,-868000000,15910000000,3899000000,0,0,-2384000000,0,0,0,0,-7208000000,10217000000,-8345000000,0,0,0,4589000000,-3756000000,567000000,254000000,313000000,-5008000000,-5008000000,4000000,-5012000000,0,-2657000000,-2657000000,0,-55000000,-7153000000,-176000000,18670000000,17802000000,-6911000000,-191000000
2012-03-31,11444000000,19287000000,-7843000000,6006000000,9799000000,3842000000,0,0,5792000000,0,0,0,0,-146000000,19287000000,-7843000000,2513000000,-2513000000,2513000000,-21000000,-5351000000,-403000000,124000000,-527000000,-5622000000,-5622000000,82000000,-5704000000,0,-2221000000,-2221000000,0,116000000,-8130000000,200000000,12664000000,18670000000,-5416000000,-99000000
2011-12-31,2117000000,10751000000,-8634000000,1642000000,9724000000,0,0,1450000000,-3166000000,0,1634000000,3117000000,-7917000000,2743000000,10751000000,-8634000000,6887000000,-464000000,-1144000000,1343000000,-2012000000,322000000,215000000,107000000,-5114000000,-5114000000,-616000000,-5422000000,0,-2247000000,-2247000000,-4526000000,4520000000,-7045000000,-52000000,11022000000,12664000000,0,0
2011-09-30,7371000000,14849000000,-7478000000,2735000000,10671000000,0,0,0,1076000000,0,0,0,0,3102000000,14849000000,-7478000000,0,-173000000,1947000000,1408000000,-4296000000,247000000,15000000,232000000,-5304000000,-5304000000,164000000,-5468000000,0,-2277000000,-2277000000,0,-63000000,-7397000000,-421000000,8287000000,11022000000,6802000000,128000000
2011-06-30,5077000000,12889000000,-7812000000,-4546000000,10898000000,0,0,0,-1809000000,0,0,0,0,3800000000,12889000000,-7812000000,0,0,0,-2692000000,-10504000000,576000000,137000000,439000000,-5444000000,-5444000000,68000000,-5512000000,0,-2308000000,-2308000000,0,111000000,-7065000000,134000000,12833000000,8287000000,8374000000,159000000
2011-03-31,9805000000,16856000000,-7051000000,5008000000,10913000000,0,0,0,2887000000,0,0,0,0,3056000000,16856000000,-7051000000,1341000000,-1341000000,1341000000,357000000,-5353000000,812000000,69000000,743000000,-5269000000,-5269000000,384000000,-5653000000,0,-2188000000,-2188000000,0,-104000000,-6749000000,254000000,7825000000,12833000000,5173000000,103000000
2010-12-31,5385000000,13055000000,-7670000000,-4419000000,9516000000,0,0,642000000,123000000,0,1457000000,2987000000,-4321000000,2774000000,13055000000,-7670000000,1654000000,0,0,-1064000000,-7080000000,-3268000000,-2868000000,-400000000,-4984000000,-4984000000,-269000000,-5758000000,0,-2212000000,-2212000000,-4074000000,4108000000,-10430000000,36000000,12244000000,7825000000,0,0
2010-09-30,5276000000,13077000000,-7801000000,-1008000000,7561000000,0,0,0,1654000000,0,0,0,0,3862000000,13077000000,-7801000000,755000000,0,0,167000000,-6879000000,-2262000000,-2230000000,-32000000,-3114000000,-3114000000,158000000,-3272000000,0,-2095000000,-2234000000,139000000,-87000000,-7697000000,491000000,13252000000,12244000000,4463000000,166000000
2010-06-30,3591000000,9235000000,-5644000000,-490000000,7746000000,0,0,0,-1133000000,0,0,0,0,2622000000,9235000000,-5644000000,428000000,0,0,138000000,-5078000000,-583000000,-7000000,-576000000,-1499000000,-1499000000,69000000,-1568000000,0,-2205000000,-2066000000,0,-29000000,-4177000000,-470000000,13742000000,13252000000,5591000000,164000000
2010-03-31,7290000000,13046000000,-5756000000,3049000000,6575000000,0,0,0,3201000000,0,0,0,0,3270000000,13046000000,-5756000000,424000000,-424000000,424000000,165000000,-5167000000,-97000000,24000000,-121000000,-2453000000,-2453000000,42000000,-2495000000,0,-1986000000,-1986000000,0,-84000000,-4620000000,-210000000,10693000000,13742000000,3896000000,130000000
