Quarter,Free Cash Flow,Operating Cash Flow,Capital Expenditures,Net Change in Cash,Net Income,Depreciation & Amortization,Stock-Based Compensation,Deferred Income Tax,Change in Working Capital,Accounts Receivables,Inventory,Accounts Payables,Other Working Capital,Other Non-Cash Items,Net Cash from Operating Activities,PP&E Investments,Cash Acquisitions,Purchase of Investments,Sales Maturities of Investments,Other Investing Activities,Net Cash from Investing Activities,Net Debt Issuance,Long-Term Net Debt Issuance,Short-Term Net Debt Issuance,Net Stock Issuance,Net Common Stock Issuance,Common Stock Issuance,Common Stock Repurchased,Net Preferred Stock Issuance,Net Dividends Paid,Common Dividends Paid,Preferred Dividends Paid,Other Financing Activities,Net Cash from Financing Activities,Effect of Forex Changes on Cash,Cash at Beginning of Period,Cash at End of Period,Income Taxes Paid,Interest Paid
2009-12-31,1741000000,8504000000,-6763000000,-1779000000,6139000000,0,0,0,-307000000,0,0,0,0,2672000000,8504000000,-6763000000,462000000,0,0,-121000000,-6422000000,-116000000,-8000000,-108000000,-1916000000,-1916000000,456000000,-2372000000,0,-1992000000,-1992000000,0,129000000,-3895000000,34000000,12472000000,10693000000,0,0
2009-09-30,3337000000,8827000000,-5490000000,-3104000000,4871000000,0,0,0,140000000,0,0,0,0,3816000000,8827000000,-5490000000,172000000,0,0,-966000000,-6284000000,188000000,40000000,148000000,-4122000000,-4122000000,111000000,-4233000000,0,-1878000000,-1878000000,0,-216000000,-6028000000,381000000,15576000000,12472000000,3602000000,528000000
2009-06-30,-3368000000,2197000000,-5565000000,-9396000000,3946000000,0,0,0,-2124000000,0,0,0,0,375000000,2197000000,-5565000000,770000000,0,0,-178000000,-4973000000,-33000000,114000000,-147000000,-5182000000,-5182000000,64000000,-5246000000,0,-2082000000,-2172000000,0,132000000,-7255000000,635000000,24972000000,15576000000,4723000000,94000000
2009-03-31,4237000000,8910000000,-4673000000,-6465000000,4702000000,0,0,0,1132000000,0,0,0,0,3076000000,8910000000,-4673000000,141000000,-208000000,141000000,-141000000,-4740000000,-192000000,11000000,-203000000,-7731000000,-7731000000,121000000,-7852000000,0,-2071000000,-1981000000,-90000000,-111000000,-10105000000,-530000000,31437000000,24972000000,3817000000,101000000
2008-12-31,5159000000,10484000000,-5325000000,-5237000000,7820000000,3177000000,0,19726000000,-2998000000,-46857000000,11646000000,36643000000,-4430000000,2485000000,10484000000,-5325000000,1783000000,0,0,915000000,-2627000000,-846000000,-846000000,0,-8581000000,-8581000000,264000000,-8845000000,0,-2018000000,-2018000000,0,42000000,-11403000000,-1691000000,36674000000,31437000000,0,0
2008-09-30,9261000000,14403000000,-5142000000,-2294000000,14830000000,3008000000,0,0,-2856000000,0,0,0,-2856000000,-579000000,14403000000,-5142000000,2630000000,0,0,-1592000000,-4104000000,551000000,42000000,509000000,-8612000000,-8612000000,51000000,-8663000000,0,-2063000000,-1848000000,-215000000,-296000000,-10420000000,-2173000000,38968000000,36674000000,9267000000,151000000
2008-06-30,8546000000,13418000000,-4872000000,-1945000000,11680000000,3090000000,0,0,-517000000,0,0,0,-517000000,-835000000,13418000000,-4872000000,1159000000,0,0,-755000000,-4468000000,-411000000,-6000000,-405000000,-8454000000,-8454000000,307000000,-8761000000,0,-2098000000,-2208000000,0,222000000,-10851000000,-44000000,40913000000,38968000000,11078000000,153000000
2008-03-31,17441000000,21420000000,-3979000000,6932000000,10890000000,3104000000,0,0,7803000000,0,0,0,7803000000,-377000000,21420000000,-3979000000,413000000,-413000000,413000000,-734000000,-4300000000,179000000,-11000000,190000000,-9334000000,-9334000000,131000000,-9465000000,0,-1879000000,-1984000000,0,-214000000,-11353000000,1165000000,33981000000,40913000000,4849000000,184000000
2007-12-31,6775000000,11335000000,-4560000000,2558000000,11660000000,3155000000,0,22899000000,-144000000,-55225000000,11089000000,45275000000,-1283000000,-3336000000,11335000000,-4560000000,1782000000,0,0,3115000000,337000000,419000000,419000000,0,-7750000000,-7750000000,0,-8829000000,0,-1903000000,-5718000000,0,3642000000,-9407000000,293000000,31423000000,33981000000,0,0
2007-09-30,11128000000,15063000000,-3935000000,2464000000,9410000000,3159000000,0,0,1649000000,0,0,0,1649000000,845000000,15063000000,-3935000000,749000000,0,0,-556000000,-3742000000,-91000000,-91000000,0,-7572000000,-7572000000,0,-7572000000,0,-1932000000,-1932000000,0,-182000000,-9777000000,920000000,28959000000,31423000000,0,0
2007-06-30,7532000000,11318000000,-3786000000,-1035000000,10260000000,2994000000,0,0,-2209000000,0,0,0,-2209000000,273000000,11318000000,-3786000000,1135000000,0,0,-434000000,-3085000000,-61000000,-61000000,0,-7633000000,-7633000000,0,-7633000000,0,-1961000000,-1961000000,0,-1000000,-9656000000,388000000,29994000000,28959000000,0,0
2007-03-31,11180000000,14286000000,-3106000000,1750000000,9280000000,2942000000,0,0,1843000000,0,0,0,1843000000,221000000,14286000000,-3106000000,538000000,-538000000,538000000,-670000000,-3238000000,331000000,331000000,0,-7788000000,-7788000000,0,-7788000000,0,-1825000000,-1825000000,0,-223000000,-9505000000,207000000,28244000000,29994000000,0,0
2006-12-31,4701000000,8862000000,-4161000000,-4490000000,10250000000,3282000000,0,20851000000,-4299000000,-50259000000,10714000000,39082000000,-3836000000,-371000000,8862000000,-4161000000,752000000,0,0,-57000000,-3466000000,-264000000,-264000000,0,-8006000000,-8006000000,0,-9179000000,0,-1853000000,-5775000000,0,3969000000,-10076000000,190000000,32734000000,28244000000,0,0
2006-09-30,10782000000,14497000000,-3715000000,621000000,10490000000,2730000000,0,0,2834000000,0,0,0,2834000000,-1557000000,14497000000,-3715000000,0,0,0,-273000000,-3988000000,186000000,186000000,0,-7985000000,-7985000000,0,-7985000000,0,-1892000000,-1892000000,0,-68000000,-9759000000,-129000000,32113000000,32734000000,0,0
2006-06-30,7440000000,11296000000,-3856000000,168000000,10360000000,2760000000,0,0,-2255000000,0,0,0,-2255000000,431000000,11296000000,-3856000000,0,0,0,583000000,-3273000000,206000000,206000000,0,-6630000000,-6630000000,0,-6630000000,0,-1926000000,-1926000000,0,-23000000,-8373000000,518000000,31945000000,32113000000,0,0
2006-03-31,10901000000,14631000000,-3730000000,3274000000,8400000000,2644000000,0,0,3257000000,0,0,0,3257000000,330000000,14631000000,-3730000000,0,0,394000000,-167000000,-3503000000,-55000000,-55000000,0,-5764000000,-5764000000,0,-5764000000,0,-1957000000,-1957000000,0,-226000000,-8002000000,148000000,28671000000,31945000000,0,0
2005-12-31,6491000000,10390000000,-3899000000,-569000000,10710000000,2671000000,0,0,-2561000000,-41776000000,9321000000,36120000000,-6226000000,-430000000,10390000000,-3899000000,0,0,0,1008000000,-2891000000,-487000000,-487000000,0,-5295000000,-5295000000,0,-6236000000,0,-1859000000,-1859000000,-3760000000,3430000000,-7971000000,-97000000,29240000000,28671000000,0,0
2005-09-30,12275000000,15767000000,-3492000000,3592000000,9920000000,2513000000,0,0,3653000000,0,0,0,3653000000,-319000000,15767000000,-3492000000,0,0,0,-673000000,-4165000000,-738000000,-738000000,0,-5289000000,-5289000000,0,-5289000000,0,-1913000000,-1913000000,0,-158000000,-8098000000,88000000,25648000000,29240000000,0,0
2005-06-30,5278000000,9013000000,-3735000000,483000000,7640000000,2516000000,0,0,-976000000,0,0,0,-976000000,-167000000,9013000000,-3735000000,0,0,0,1607000000,-2128000000,-286000000,-286000000,0,-3609000000,-3609000000,0,-3609000000,0,-1884000000,-1884000000,0,-90000000,-5869000000,-533000000,25165000000,25648000000,0,0
2005-03-31,10255000000,12968000000,-2713000000,6634000000,7860000000,2553000000,0,0,3549000000,0,0,0,3549000000,-994000000,12968000000,-2713000000,0,0,0,1627000000,-1086000000,9000000,9000000,0,-3087000000,-3087000000,0,-3087000000,0,-1822000000,-1822000000,0,-103000000,-5003000000,-245000000,18531000000,25165000000,0,0
2004-12-31,8901000000,12308000000,-3407000000,2423000000,8420000000,2613000000,0,0,1494000000,0,0,0,1494000000,-219000000,12308000000,-3407000000,0,0,0,-483000000,-3890000000,-1965000000,-1965000000,0,-2756000000,-2756000000,0,-3716000000,0,-1776000000,-1776000000,0,-64000000,-6561000000,566000000,16108000000,18531000000,0,0
2004-09-30,6616000000,9453000000,-2837000000,1931000000,5680000000,2431000000,0,0,1132000000,0,0,0,1132000000,210000000,9453000000,-2837000000,0,0,0,-33000000,-2870000000,-152000000,-152000000,0,-2760000000,-2760000000,0,-2760000000,0,-1830000000,-1830000000,0,-68000000,-4810000000,158000000,14177000000,16108000000,0,0
2004-06-30,5720000000,8652000000,-2932000000,-1717000000,5790000000,2350000000,0,0,650000000,0,0,0,650000000,-138000000,8652000000,-2932000000,0,0,0,-3637000000,-6569000000,-154000000,-154000000,0,-1730000000,-1730000000,0,-1730000000,0,-1791000000,-1791000000,0,-52000000,-3727000000,-73000000,15894000000,14177000000,0,0
2004-03-31,7328000000,10138000000,-2810000000,5268000000,5440000000,2373000000,0,0,2373000000,0,0,0,2373000000,-48000000,10138000000,-2810000000,0,0,0,1229000000,-1581000000,320000000,320000000,0,-1745000000,-1745000000,0,-1745000000,0,-1714000000,-1714000000,0,-31000000,-3170000000,-119000000,10626000000,15894000000,0,0
2003-12-31,3245000000,6799000000,-3554000000,-389000000,6650000000,2493000000,0,0,-4721000000,0,0,0,-4721000000,2377000000,6799000000,-3554000000,0,0,0,418000000,-3136000000,-690000000,-690000000,0,-1659000000,-1659000000,0,-2093000000,0,-1702000000,-1702000000,0,-76000000,-4127000000,75000000,11015000000,10626000000,0,0
2003-09-30,2631000000,5704000000,-3073000000,-1506000000,3650000000,2203000000,0,0,2037000000,0,0,0,2037000000,-2186000000,5704000000,-3073000000,0,0,0,-262000000,-3335000000,-636000000,-636000000,0,-1577000000,-1577000000,0,-1577000000,0,-1724000000,-1724000000,0,-11000000,-3948000000,73000000,12521000000,11015000000,0,0
2003-06-30,4055000000,7349000000,-3294000000,193000000,4170000000,2169000000,0,0,542000000,0,0,0,542000000,468000000,7349000000,-3294000000,0,0,0,-342000000,-3636000000,-611000000,-611000000,0,-1101000000,-1101000000,0,-1101000000,0,-1917000000,-1917000000,0,-115000000,-3744000000,224000000,12328000000,12521000000,0,0
2003-03-31,5708000000,8646000000,-2938000000,5099000000,7040000000,2182000000,0,0,1928000000,0,0,0,1928000000,-2504000000,8646000000,-2938000000,0,0,0,2203000000,-735000000,-187000000,-187000000,0,-1110000000,-1110000000,0,-1110000000,0,-1602000000,-1602000000,0,-45000000,-2944000000,132000000,7229000000,12328000000,0,0
2002-12-31,1789000000,5079000000,-3290000000,292000000,4090000000,2075000000,0,0,-2065000000,0,0,0,-2065000000,979000000,5079000000,-3290000000,0,0,0,1057000000,-2233000000,-18000000,-18000000,0,-1097000000,-1097000000,0,-1396000000,0,-1562000000,-1562000000,0,6000000,-2671000000,117000000,6937000000,7229000000,0,0
2002-09-30,4565000000,7449000000,-2884000000,1237000000,2640000000,2195000000,0,0,2422000000,0,0,0,2422000000,192000000,7449000000,-2884000000,0,0,0,-271000000,-3155000000,-478000000,-478000000,0,-1033000000,-1033000000,0,-1033000000,0,-1626000000,-1626000000,0,22000000,-3115000000,58000000,5700000000,6937000000,0,0
2002-06-30,1279000000,4116000000,-2837000000,-922000000,2640000000,2020000000,0,0,-784000000,0,0,0,-784000000,240000000,4116000000,-2837000000,0,0,0,-296000000,-3133000000,535000000,535000000,0,-1059000000,-1059000000,0,-1059000000,0,-1577000000,-1577000000,0,-182000000,-2283000000,378000000,6622000000,5700000000,0,0
2002-03-31,2198000000,4624000000,-2426000000,75000000,2090000000,2020000000,0,0,872000000,0,0,0,872000000,-358000000,4624000000,-2426000000,0,0,0,1189000000,-1237000000,-346000000,-346000000,0,-1310000000,-1310000000,0,-1310000000,0,-1621000000,-1621000000,0,-7000000,-3284000000,-28000000,6547000000,6622000000,0,0
2001-12-31,264000000,3390000000,-3126000000,-2479000000,2680000000,2140000000,0,0,-2601000000,0,0,0,0,1171000000,3390000000,-3126000000,0,0,0,860000000,-2266000000,-400000000,-400000000,0,-1355000000,-1355000000,0,-1656000000,0,-1607000000,-1607000000,0,-63000000,-3425000000,-178000000,9026000000,6547000000,0,0
2001-09-30,2762000000,5255000000,-2493000000,-272000000,3180000000,1957000000,0,0,-424000000,0,0,0,-424000000,542000000,5255000000,-2493000000,0,0,0,-138000000,-2631000000,13000000,13000000,0,-1289000000,-1289000000,0,-1289000000,0,-1710000000,-1710000000,0,-64000000,-3050000000,154000000,9298000000,9026000000,0,0
2001-06-30,3173000000,5515000000,-2342000000,-1608000000,4460000000,1871000000,0,0,-422000000,0,0,0,-422000000,-394000000,5515000000,-2342000000,0,0,0,120000000,-2222000000,-1694000000,-1694000000,0,-1406000000,-1406000000,0,-1406000000,0,-1546000000,-1546000000,0,-258000000,-4904000000,3000000,10906000000,9298000000,0,0
2001-03-31,6701000000,8729000000,-2028000000,3826000000,5000000000,1976000000,0,0,1678000000,0,0,0,1678000000,75000000,8729000000,-2028000000,0,0,0,936000000,-1092000000,-691000000,-691000000,0,-1370000000,-1370000000,0,-1370000000,0,-1585000000,-1585000000,0,-16000000,-3662000000,-149000000,7080000000,10906000000,0,0
2000-12-31,3465000000,6075000000,-2610000000,436000000,6635000000,2162000000,0,0,-1654000000,0,0,0,0,-1068000000,6075000000,-2610000000,0,0,0,1015000000,-1595000000,-1388000000,-1388000000,0,-1198000000,-1198000000,0,-1691000000,0,-1600000000,-1600000000,0,-108000000,-4294000000,250000000,6644000000,7080000000,0,0
2000-09-30,3373000000,5408000000,-2035000000,831000000,4060000000,1901000000,0,0,0,0,0,0,0,-553000000,5408000000,-2035000000,0,0,0,225000000,-1810000000,-2000000,-2000000,0,-856000000,-856000000,0,0,0,-1620000000,-1620000000,0,-7000000,-2485000000,-282000000,5813000000,6644000000,0,0
2000-06-30,3932000000,5964000000,-2032000000,2885000000,4000000000,1939000000,0,0,0,0,0,0,0,25000000,5964000000,-2032000000,0,0,0,1281000000,-751000000,-784000000,-784000000,0,86000000,86000000,44000000,0,0,-1560000000,-1560000000,0,-70000000,-2328000000,0,2928000000,5813000000,0,0
2000-03-31,3721000000,5490000000,-1769000000,1240000000,3025000000,2128000000,0,0,1830000000,0,0,0,1830000000,-1493000000,5490000000,-1769000000,0,0,0,2627000000,858000000,-3531000000,-3531000000,0,109000000,109000000,151000000,-42000000,0,-1594000000,-1594000000,0,-42000000,-5058000000,-50000000,1688000000,2928000000,0,0
1999-12-31,2082000000,7156000000,-5074000000,537000000,4185000000,4110000000,0,0,-880000000,0,0,0,0,-259000000,7156000000,-5074000000,0,0,0,-704000000,-5778000000,1379000000,1379000000,0,92000000,92000000,0,-256000000,0,-3040000000,-3040000000,0,-244000000,-1813000000,27000000,1151000000,1688000000,0,0
1999-09-30,1124000000,2817000000,-1693000000,-177000000,1500000000,1319000000,0,0,0,0,0,0,0,-2000000,2817000000,-1693000000,0,0,0,-143000000,-1836000000,101000000,101000000,0,-52000000,-52000000,0,-52000000,0,-1013000000,-1013000000,0,-209000000,-1173000000,15000000,1328000000,1151000000,0,0
1999-06-30,42000000,2288000000,-2246000000,-57000000,1205000000,1347000000,0,0,0,0,0,0,0,-264000000,2288000000,-2246000000,0,0,0,122000000,-2124000000,1303000000,1303000000,0,-208000000,-208000000,0,-208000000,0,-1019000000,-1019000000,0,-310000000,-234000000,13000000,1385000000,1328000000,0,0
1999-03-31,916000000,2752000000,-1836000000,-56000000,1020000000,1528000000,0,0,746000000,0,0,0,746000000,-542000000,2752000000,-1836000000,0,0,0,589000000,-1247000000,789000000,789000000,0,-84000000,-84000000,0,-84000000,0,-1515000000,-1515000000,0,-749000000,-1559000000,-2000000,1441000000,1385000000,0,0
1998-12-31,-999000000,1412000000,-2411000000,-660000000,1530000000,1225000000,0,0,0,0,0,0,0,-1343000000,1412000000,-2411000000,0,0,0,80000000,-2331000000,1562000000,1562000000,0,-416000000,-416000000,0,-819000000,0,-894000000,-894000000,0,-11000000,241000000,18000000,2101000000,1441000000,0,0
1998-09-30,1403000000,3607000000,-2204000000,-588000000,1400000000,1337000000,0,0,0,0,0,0,0,870000000,3607000000,-2204000000,0,0,0,-337000000,-2541000000,-22000000,-22000000,0,-583000000,-583000000,0,-583000000,0,-1018000000,-1018000000,0,-73000000,-1696000000,42000000,0,-588000000,0,0
1998-06-30,928000000,2963000000,-2035000000,-1152000000,1620000000,1390000000,0,0,0,0,0,0,0,-47000000,2963000000,-2035000000,0,0,0,92000000,-1943000000,-126000000,-126000000,0,0,0,0,0,0,-1027000000,-1027000000,0,-997000000,-2150000000,-22000000,0,-1152000000,0,0
1998-03-31,1365000000,3074000000,-1709000000,-206000000,1890000000,1388000000,0,0,0,0,0,0,0,-204000000,3074000000,-1709000000,0,0,407000000,125000000,-1177000000,-205000000,-205000000,0,0,0,0,0,0,-1031000000,-1031000000,0,-857000000,-2093000000,-10000000,4047000000,3841000000,0,0
1997-12-31,568000000,2661000000,-2093000000,-734000000,2500000000,1406000000,0,0,0,0,0,0,0,-1245000000,2661000000,-2093000000,0,0,0,503000000,-1590000000,39000000,39000000,0,-691000000,-691000000,0,-1031000000,0,-1069000000,-1069000000,0,-36000000,-1757000000,-48000000,0,-734000000,0,0
1997-09-30,2119000000,4088000000,-1969000000,61000000,1820000000,1361000000,0,0,0,0,0,0,0,907000000,4088000000,-1969000000,0,0,0,-170000000,-2139000000,-60000000,-60000000,0,-641000000,-641000000,0,-641000000,0,-1120000000,-1120000000,0,-14000000,-1835000000,-53000000,0,61000000,0,0
1997-06-30,1563000000,3413000000,-1850000000,-543000000,1965000000,1342000000,0,0,0,0,0,0,0,106000000,3413000000,-1850000000,0,0,0,-118000000,-1968000000,-55000000,-55000000,0,-748000000,-748000000,0,-748000000,0,-1101000000,-1101000000,0,-77000000,-1981000000,-7000000,0,-543000000,0,0
1997-03-31,3033000000,4514000000,-1481000000,2312000000,2175000000,1365000000,0,0,0,0,0,0,0,974000000,4514000000,-1481000000,0,0,0,387000000,-1094000000,84000000,84000000,0,-166000000,-166000000,0,-166000000,0,-1061000000,-1061000000,0,4000000,-1139000000,31000000,2951000000,5263000000,0,0
1996-12-31,854000000,2962000000,-2108000000,41000000,2495000000,1344000000,0,0,0,0,0,0,0,-877000000,2962000000,-2108000000,0,0,0,278000000,-1830000000,36000000,36000000,0,-133000000,-133000000,0,-480000000,0,-1036000000,-1036000000,0,-9000000,-1142000000,51000000,0,41000000,0,0
1996-09-30,1298000000,3140000000,-1842000000,-312000000,1560000000,1307000000,0,0,0,0,0,0,0,273000000,3140000000,-1842000000,0,0,0,211000000,-1631000000,-379000000,-379000000,0,-78000000,-78000000,0,-78000000,0,-1060000000,-1060000000,0,-300000000,-1817000000,-4000000,0,-312000000,0,0
1996-06-30,1137000000,2983000000,-1846000000,-301000000,1570000000,1306000000,0,0,0,0,0,0,0,107000000,2983000000,-1846000000,0,0,0,-175000000,-2021000000,26000000,26000000,0,-191000000,-191000000,0,-191000000,0,-1070000000,-1070000000,0,-31000000,-1266000000,3000000,0,-301000000,0,0
1996-03-31,2664000000,4077000000,-1413000000,2015000000,1885000000,1372000000,0,0,0,0,0,0,0,820000000,4077000000,-1413000000,0,0,0,380000000,-1033000000,63000000,63000000,0,-52000000,-52000000,0,-52000000,0,-1027000000,-1027000000,0,2000000,-1014000000,-15000000,1508000000,3523000000,0,0
1995-12-31,1270000000,3573000000,-2303000000,-2096000000,1680000000,1382000000,0,0,0,0,0,0,0,511000000,3573000000,-2303000000,0,0,0,134000000,-2169000000,-948000000,-948000000,0,-95000000,-95000000,0,-423000000,0,-994000000,-994000000,0,-59000000,-2096000000,-1404000000,0,-2096000000,0,0
1995-09-30,2165000000,3944000000,-1779000000,-377000000,1500000000,1340000000,0,0,0,0,0,0,0,1104000000,3944000000,-1779000000,0,0,0,-286000000,-2065000000,-982000000,-982000000,0,-55000000,-55000000,0,-55000000,0,-1013000000,-1013000000,0,-31000000,-2081000000,-175000000,0,-377000000,0,0
1995-06-30,1401000000,3048000000,-1647000000,-193000000,1630000000,1328000000,0,0,0,0,0,0,0,90000000,3048000000,-1647000000,0,0,0,320000000,-1327000000,-821000000,-821000000,0,-129000000,-129000000,0,-129000000,0,-1022000000,-1022000000,0,-8000000,-1980000000,66000000,0,-193000000,0,0
1995-03-31,1883000000,3282000000,-1399000000,1613000000,1660000000,1336000000,0,0,0,0,0,0,0,286000000,3282000000,-1399000000,0,0,0,605000000,-794000000,46000000,46000000,0,-21000000,-21000000,0,-21000000,0,-1018000000,-1018000000,0,14000000,-979000000,104000000,1157000000,2770000000,0,0
1994-12-31,753000000,2750000000,-1997000000,-543000000,1900000000,1306000000,0,0,0,0,0,0,0,-456000000,2750000000,-1997000000,0,0,0,316000000,-1681000000,-513000000,-513000000,0,-22000000,-22000000,0,-88000000,0,-992000000,-992000000,0,-6000000,-1533000000,-79000000,0,-543000000,0,0
1994-09-30,1035000000,2683000000,-1648000000,-179000000,1155000000,1187000000,0,0,0,0,0,0,0,341000000,2683000000,-1648000000,0,0,0,-415000000,-2063000000,174000000,174000000,0,-29000000,-29000000,0,-29000000,0,-974000000,-974000000,0,-9000000,-838000000,39000000,0,-179000000,0,0
1994-06-30,385000000,2055000000,-1670000000,231000000,885000000,1233000000,0,0,0,0,0,0,0,-63000000,2055000000,-1670000000,0,0,0,557000000,-1113000000,395000000,395000000,0,-55000000,-55000000,0,-55000000,0,-1105000000,-1105000000,0,13000000,-752000000,41000000,0,231000000,0,0
1994-03-31,1035000000,2363000000,-1328000000,665000000,1160000000,1289000000,0,0,0,0,0,0,0,-86000000,2363000000,-1328000000,0,0,0,763000000,-565000000,-82000000,-82000000,0,-48000000,-48000000,0,-48000000,0,-1008000000,-1008000000,0,27000000,-1111000000,-22000000,983000000,1648000000,0,0
1993-12-31,911000000,3026000000,-2115000000,-569000000,1500000000,1244000000,0,0,0,0,0,0,0,282000000,3026000000,-2115000000,0,0,0,39000000,-2076000000,-544000000,-544000000,0,-38000000,-38000000,0,-169000000,0,-954000000,-954000000,0,33000000,-1503000000,-16000000,0,-569000000,0,0
1993-09-30,1462000000,3177000000,-1715000000,165000000,1360000000,1210000000,0,0,0,0,0,0,0,607000000,3177000000,-1715000000,0,0,0,231000000,-1484000000,-452000000,-452000000,0,-46000000,-46000000,0,-46000000,0,-966000000,-966000000,0,-56000000,-1520000000,-8000000,0,165000000,0,0
1993-06-30,860000000,2688000000,-1828000000,278000000,1235000000,1236000000,0,0,0,0,0,0,0,217000000,2688000000,-1828000000,0,0,0,191000000,-1637000000,507000000,507000000,0,-61000000,-61000000,0,-61000000,0,-983000000,-983000000,0,-222000000,-759000000,-14000000,0,278000000,0,0
1993-03-31,1314000000,2612000000,-1298000000,211000000,1185000000,1194000000,0,0,0,0,0,0,0,233000000,2612000000,-1298000000,0,0,0,394000000,-904000000,-220000000,-220000000,0,-47000000,-47000000,0,-47000000,0,-976000000,-976000000,0,-255000000,-1498000000,1000000,898000000,1109000000,0,0
1992-12-31,632000000,2784000000,-2152000000,-96000000,1370000000,1484000000,0,0,0,0,0,0,0,-70000000,2784000000,-2152000000,0,0,0,-122000000,-2274000000,562000000,562000000,0,-39000000,-39000000,0,-187000000,0,-968000000,-968000000,0,-137000000,-582000000,-24000000,0,-96000000,0,0
1992-09-30,817000000,2591000000,-1774000000,-326000000,1135000000,1035000000,0,0,0,0,0,0,0,421000000,2591000000,-1774000000,0,0,0,25000000,-1749000000,-127000000,-127000000,0,-54000000,-54000000,0,-54000000,0,-969000000,-969000000,0,0,-1150000000,-18000000,0,-326000000,0,0
1992-06-30,65000000,1756000000,-1691000000,-307000000,955000000,1223000000,0,0,0,0,0,0,0,-422000000,1756000000,-1691000000,0,0,0,-61000000,-1752000000,647000000,647000000,0,-49000000,-49000000,0,-49000000,0,-979000000,-979000000,0,44000000,-337000000,26000000,0,-307000000,0,0
1992-03-31,872000000,2480000000,-1608000000,131000000,1350000000,1302000000,0,0,0,0,0,0,0,-172000000,2480000000,-1608000000,0,0,0,350000000,-1258000000,-343000000,-343000000,0,-68000000,-68000000,0,-68000000,0,-916000000,-916000000,0,273000000,-1054000000,-37000000,1496000000,1627000000,0,0
1991-12-31,461000000,2800000000,-2339000000,79000000,1120000000,1237000000,0,0,0,0,0,0,0,443000000,2800000000,-2339000000,0,0,0,160000000,-2179000000,415000000,415000000,0,-95000000,-95000000,0,-208000000,0,-899000000,-899000000,0,32000000,-547000000,5000000,0,79000000,0,0
1991-09-30,973000000,2799000000,-1826000000,381000000,1115000000,1194000000,0,0,0,0,0,0,0,490000000,2799000000,-1826000000,0,0,0,47000000,-1779000000,335000000,335000000,0,-99000000,-99000000,0,-99000000,0,-916000000,-916000000,0,20000000,-660000000,21000000,0,381000000,0,0
1991-06-30,947000000,2593000000,-1646000000,-599000000,1125000000,1188000000,0,0,0,0,0,0,0,280000000,2593000000,-1646000000,0,0,0,128000000,-1518000000,-567000000,-567000000,0,-91000000,-91000000,0,-91000000,0,-913000000,-913000000,0,9000000,-1562000000,-112000000,0,-599000000,0,0
1991-03-31,1237000000,2750000000,-1513000000,303000000,2240000000,1205000000,0,0,0,0,0,0,0,-695000000,2750000000,-1513000000,0,0,0,769000000,-744000000,-820000000,-820000000,0,-68000000,-68000000,0,-68000000,0,-917000000,-917000000,0,17000000,-1788000000,85000000,1332000000,1635000000,0,0
1990-12-31,2023000000,4154000000,-2131000000,-8000000,1555000000,1751000000,0,0,0,0,0,0,0,848000000,4154000000,-2131000000,0,0,0,438000000,-1693000000,-1459000000,-1459000000,0,-111000000,-111000000,0,-111000000,0,-904000000,-904000000,0,-12000000,-2486000000,17000000,0,-8000000,0,0
1990-09-30,353000000,1971000000,-1618000000,-190000000,1075000000,1185000000,0,0,0,0,0,0,0,-289000000,1971000000,-1618000000,0,0,0,137000000,-1481000000,124000000,124000000,0,0,0,0,0,0,-956000000,-956000000,0,83000000,-749000000,69000000,0,-190000000,0,0
1990-06-30,1248000000,2751000000,-1503000000,-154000000,1100000000,1323000000,0,0,0,0,0,0,0,328000000,2751000000,-1503000000,0,0,0,439000000,-1064000000,-911000000,-911000000,0,0,0,0,0,0,-705000000,-705000000,0,-184000000,-1800000000,-41000000,0,-154000000,0,0
1990-03-31,474000000,1770000000,-1296000000,-181000000,1280000000,1286000000,0,0,0,0,0,0,0,-796000000,1770000000,-1296000000,0,0,0,365000000,-931000000,-91000000,-91000000,0,-93000000,-93000000,0,-93000000,0,-832000000,-832000000,0,18000000,-998000000,-22000000,1865000000,1684000000,0,0
1989-12-31,534000000,2819000000,-2285000000,-134000000,435000000,1483000000,0,0,1056000000,0,0,0,0,-155000000,2819000000,-2285000000,0,0,0,557000000,-1728000000,-349000000,-349000000,0,-83000000,-83000000,0,-83000000,0,-824000000,-824000000,0,-14000000,-1270000000,45000000,0,-134000000,0,0